# Expert mapping cache: filename|expert_name
accessibility_expert.mdc|Allison Foster
api_design_expert.mdc|Andrew Lee
architecture_expert.mdc|Arthur Davis
backend_expert.mdc|Samuel Rodriguez
bi_expert.mdc|Daniel Kim
compliance_expert.mdc|Constance White
content_expert.mdc|Carol Williams
copywriter_expert.mdc|Emma Rodriguez
database_expert.mdc|David Anderson
devops_expert.mdc|Devin Patel
documentation_expert.mdc|Dorothy Clark
i18n_expert.mdc|Lisa Garcia
market_research_expert.mdc|Marcus Thompson
mobile_expert.mdc|Michael Brown
performance_expert.mdc|James Martinez
product_manager_expert.mdc|Patricia Martinez
security_expert.mdc|Sarah Johnson
seo_expert.mdc|Steven Taylor
subject_matter_expert.mdc|Dr. Robert Chen
testing_expert.mdc|Thomas Mitchell
ui_ux_expert.mdc|Daisy Thompson

# ============================================================================
# COMPLIANCE CONSIDERATIONS FOR EXPERT MAPPING FILE
# ============================================================================
#
# This file contains personal information (expert names) and requires
# compliance with data protection regulations. The following considerations
# apply to ensure legal compliance and data protection.
#
# ----------------------------------------------------------------------------
# PRIVACY AND DATA PROTECTION
# ----------------------------------------------------------------------------
#
# 1. PERSONAL INFORMATION CLASSIFICATION
#    - This file contains names, which are considered personal data under
#      GDPR, CCPA, and other privacy regulations
#    - Names alone may not be sufficient to identify individuals, but when
#      combined with other data (expertise areas, project context), they
#      may constitute personally identifiable information (PII)
#    - Risk Level: LOW to MEDIUM (depends on whether names are real or
#      pseudonyms and whether they can be linked to real individuals)
#
# 2. DATA MINIMIZATION PRINCIPLE
#    - This file contains only the minimum necessary data (filename and name)
#    - No additional personal information (email, address, phone, etc.) is stored
#    - ✅ COMPLIANT: Follows data minimization best practices
#
# 3. PURPOSE LIMITATION
#    - This file serves a specific technical purpose: mapping complement
#      to their names for command execution
#    - The data should not be used for any other purpose without consent
#    - ✅ COMPLIANT: Single, well-defined purpose
#
# ----------------------------------------------------------------------------
# ACCESS CONTROL AND SECURITY
# ----------------------------------------------------------------------------
#
# 1. FILE ACCESS PERMISSIONS
#    - Recommended: Restrict read access to authorized developers only
#    - File should be readable by development tools but not publicly accessible
